Series,N,NF,Category,Starting Year,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
83,23,6,DEMOGRAPHIC ,1971,1,1028,1965,2089,1927,2023,2488,3284,3665,4018,3704,2502,1385,3668,3903,2863,5491,8725,4326,3604,3945,3864,5740,8659,,,,,,,,,,,,,,,,,,,,,,,,
84,25,6,DEMOGRAPHIC ,1971,1,7196,7488,7320,7530,7712,7907,7914,8003,8080,8200,8206,8164,8341,8456,8403,8355,8232,8052,7876,7712,7546,7367,7025,6858,6752,,,,,,,,,,,,,,,,,,,,,,
85,25,6,DEMOGRAPHIC ,1971,1,4151,4443,4610,4672,5433,5531,5623,5860,6014,6916,7323,7940,8138,7932,8519,9116,9102,8825,8565,8193,8347,7669,7110,6273,6046,,,,,,,,,,,,,,,,,,,,,,
86,25,6,DEMOGRAPHIC ,1971,1,3498,3752,3919,4297,4879,4731,4862,5074,5413,5767,6340,6283,6396,6309,6382,6836,6633,6346,6611,6617,6039,6207,5778,5187,5033,,,,,,,,,,,,,,,,,,,,,,
87,25,6,DEMOGRAPHIC ,1971,1,1813,1912,1861,1956,2366,2310,2417,2472,2407,3004,3354,4213,4840,5101,5764,6384,6834,6680,6344,5770,5936,5683,5540,5336,5107,,,,,,,,,,,,,,,,,,,,,,
88,25,6,DEMOGRAPHIC ,1971,1,2779,3094,3444,3522,3412,3667,3517,3116,2628,2321,2687,3349,4299,4803,5092,5994,7284,7886,7612,7349,6636,6864,5685,4966,4655,,,,,,,,,,,,,,,,,,,,,,
89,25,6,DEMOGRAPHIC ,1971,1,2760,2912,3236,3533,3400,3478,3347,3151,2944,2364,2146,2166,3729,4448,5700,5582,6836,8126,8559,7261,7225,6622,6091,4965,4937,,,,,,,,,,,,,,,,,,,,,,
90,25,6,DEMOGRAPHIC ,1971,1,7660,7640,4760,5360,7160,7160,4600,5180,5220,4200,4200,3420,3080,3520,3300,3740,3500,5440,5360,7440,6640,8140,8800,6280,4800,,,,,,,,,,,,,,,,,,,,,,
91,25,6,DEMOGRAPHIC ,1971,1,5065,5328,5730,5568,5418,5712,5862,5646,4727,4512,5758,8635,9981,10948,9346,10284,11317,10581,8079,8114,6476,6878,5642,5486,4661,,,,,,,,,,,,,,,,,,,,,,
92,25,6,DEMOGRAPHIC ,1971,1,5744,6463,7226,7731,8045,8352,8789,9091,9317,9458,9539,9576,9528,9448,9329,9198,9002,8817,8664,8480,8299,8148,8486,8455,8310,,,,,,,,,,,,,,,,,,,,,,
93,25,6,DEMOGRAPHIC ,1971,1,3602,3562,3700,3735,3934,4276,4500,4646,5069,5644,5958,6211,6248,6675,7319,7635,7619,7869,8054,8339,8530,8987,7457,7947,8003,,,,,,,,,,,,,,,,,,,,,,
94,25,6,DEMOGRAPHIC ,1971,1,3084,3044,3084,3101,3224,3274,3445,3439,3674,3952,4175,4344,4328,4393,4690,4918,4762,4876,5112,5293,5528,5732,4863,5150,5345,,,,,,,,,,,,,,,,,,,,,,
95,25,6,DEMOGRAPHIC ,1971,1,1418,1409,1541,1569,1693,2071,2180,2368,2662,3103,3273,3420,3481,3951,4459,4626,4763,4961,4955,5131,5134,5501,4459,4783,4658,,,,,,,,,,,,,,,,,,,,,,
96,25,6,DEMOGRAPHIC ,1971,1,6548,5787,5215,4997,4767,4626,4626,4539,4547,4553,4541,4591,4694,4733,4744,4799,4820,4786,4688,4576,4468,4244,3978,3754,3498,,,,,,,,,,,,,,,,,,,,,,
97,25,6,DEMOGRAPHIC ,1971,1,6520,6196,4144,3652,3674,3421,3811,3360,3256,3551,3236,3066,3240,2932,2798,2990,2840,2900,2380,2100,1800,2380,2300,1740,1540,,,,,,,,,,,,,,,,,,,,,,
98,25,6,DEMOGRAPHIC ,1971,1,5400,5325,5590,4850,5000,4585,4416,4275,4128,4269,4447,4708,5038,4983,5089,5023,5502,5578,5645,5943,5688,5653,5573,5398,5428,,,,,,,,,,,,,,,,,,,,,,
99,25,6,DEMOGRAPHIC ,1971,1,4562,4721,5410,5704,6101,6436,6614,6711,6711,6796,6801,6788,7005,7059,7177,7308,7329,6122,5763,5566,5360,5266,5213,5160,5013,,,,,,,,,,,,,,,,,,,,,,
100,25,6,DEMOGRAPHIC ,1971,1,4093,4231,4927,5216,5569,5894,6049,6144,6151,6238,6243,6213,6402,6450,6529,6639,6660,5432,5138,4965,4756,4675,4602,4535,4393,,,,,,,,,,,,,,,,,,,,,,
101,25,6,DEMOGRAPHIC ,1971,1,4434,4547,4375,4380,5721,5855,6503,6284,5854,5891,6070,5838,5985,6042,6261,5894,5394,5475,4731,4194,4124,3839,3965,4075,3696,,,,,,,,,,,,,,,,,,,,,,
